source,target,graph_geodesic,euclidean_chord,tortuosity,source_label,target_label
436,217,0.580073356358598,0.5800733563585998,0.9999999999999969,436,217
380,203,0.02117729006984531,0.02117729006984531,1.0,380,203
781,428,0.9801220132545067,0.9801220132545115,0.999999999999995,781,428
748,697,0.6266929417190543,0.626692941719056,0.9999999999999973,748,697
367,216,0.10364283338351582,0.10364283338351582,1.0,367,216
698,222,0.05781619177250952,0.05781619177250952,1.0,698,222
348,303,0.04556500786817641,0.04556500786817641,1.0,348,303
726,590,0.027433930881501645,0.027433930881501645,1.0,726,590
551,29,0.4968615000864728,0.4968615000864736,0.9999999999999983,551,29
63,568,0.7541070865804632,0.7541070865804658,0.9999999999999967,63,568
153,687,0.5800947836610962,0.5800947836610977,0.9999999999999976,153,687
104,255,0.6391240352868208,0.6391240352868235,0.9999999999999958,104,255
847,630,0.13199769605733114,0.13199769605733114,1.0,847,630
47,292,0.1139551666577599,0.1139551666577599,1.0,47,292
653,506,0.01013178193851283,0.01013178193851283,1.0,653,506
534,74,0.0652711138154683,0.0652711138154683,1.0,534,74
734,852,0.5548882148563791,0.554888214856381,0.9999999999999966,734,852
648,639,0.07283731523439574,0.07283731523439574,1.0,648,639
256,458,0.2003037928800744,0.2003037928800744,1.0,256,458
593,387,0.6214953630469712,0.6214953630469726,0.9999999999999977,593,387
569,760,0.4528648252314641,0.4528648252314647,0.9999999999999987,569,760
587,493,0.03525189362060063,0.03525189362060063,1.0,587,493
626,206,0.06775140454360473,0.06775140454360473,1.0,626,206
643,670,0.6941977954478563,0.6941977954478584,0.999999999999997,643,670
738,535,0.05169925018673621,0.05169925018673621,1.0,738,535
384,27,0.07856647458695903,0.07856647458695903,1.0,384,27
121,558,0.5740493993673307,0.5740493993673321,0.9999999999999974,121,558
99,714,0.7340528649980043,0.7340528649980077,0.9999999999999953,99,714
208,275,0.8050127124764686,0.8050127124764723,0.9999999999999953,208,275
246,752,0.8542321626585971,0.8542321626586005,0.9999999999999961,246,752
