null_id,H0_max_persistence,H1_max_persistence,H2_max_persistence,H3_max_persistence,H0_obs_exceed,H0_empirical_p,H1_obs_exceed,H1_empirical_p,H2_obs_exceed,H2_empirical_p,H3_obs_exceed,H3_empirical_p,feature_set
0,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
1,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
2,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
3,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
4,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
5,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
6,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
7,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
8,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
9,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
10,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
11,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
12,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
13,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
14,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
15,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
16,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
17,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
18,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
19,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
20,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
21,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
22,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
23,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
24,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
25,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
26,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
27,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
28,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
29,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
30,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
31,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
32,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
33,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
34,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
35,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
36,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
37,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
38,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
39,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
40,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
41,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
42,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
43,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
44,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
45,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
46,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
47,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
48,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
49,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
50,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
51,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
52,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
53,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
54,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
55,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
56,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
57,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
58,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
59,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
60,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
61,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
62,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
63,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
64,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
65,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
66,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
67,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
68,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
69,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
70,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
71,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
72,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
73,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
74,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
75,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
76,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
77,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
78,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
79,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
80,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
81,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
82,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
83,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
84,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
85,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
86,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
87,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
88,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
89,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
90,0.011079887859523296,0.0,0.0,0.0,0.011079887859523296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,intrinsic
