resample,feature_set,H0_max_persistence,H1_max_persistence,H2_max_persistence,H3_max_persistence
0,intrinsic,0.011079887859523296,0.0,0.0,0.0
1,intrinsic,0.011079887859523296,0.0,0.0,0.0
2,intrinsic,0.011079887859523296,0.0,0.0,0.0
3,intrinsic,0.011079887859523296,0.0,0.0,0.0
4,intrinsic,0.011079887859523296,0.0,0.0,0.0
5,intrinsic,0.011079887859523296,0.0,0.0,0.0
6,intrinsic,0.011079887859523296,0.0,0.0,0.0
7,intrinsic,0.011079887859523296,0.0,0.0,0.0
8,intrinsic,0.011079887859523296,0.0,0.0,0.0
9,intrinsic,0.011079887859523296,0.0,0.0,0.0
10,intrinsic,0.011079887859523296,0.0,0.0,0.0
11,intrinsic,0.011079887859523296,0.0,0.0,0.0
12,intrinsic,0.011079887859523296,0.0,0.0,0.0
13,intrinsic,0.011079887859523296,0.0,0.0,0.0
14,intrinsic,0.011079887859523296,0.0,0.0,0.0
15,intrinsic,0.011079887859523296,0.0,0.0,0.0
16,intrinsic,0.011079887859523296,0.0,0.0,0.0
17,intrinsic,0.011079887859523296,0.0,0.0,0.0
18,intrinsic,0.011079887859523296,0.0,0.0,0.0
19,intrinsic,0.011079887859523296,0.0,0.0,0.0
20,intrinsic,0.011079887859523296,0.0,0.0,0.0
21,intrinsic,0.011079887859523296,0.0,0.0,0.0
22,intrinsic,0.011079887859523296,0.0,0.0,0.0
23,intrinsic,0.011079887859523296,0.0,0.0,0.0
24,intrinsic,0.011079887859523296,0.0,0.0,0.0
25,intrinsic,0.011079887859523296,0.0,0.0,0.0
26,intrinsic,0.011079887859523296,0.0,0.0,0.0
27,intrinsic,0.011079887859523296,0.0,0.0,0.0
28,intrinsic,0.011079887859523296,0.0,0.0,0.0
29,intrinsic,0.011079887859523296,0.0,0.0,0.0
0,no_regulator,0.011079887859523296,0.0,0.0,0.0
1,no_regulator,0.011079887859523296,0.0,0.0,0.0
2,no_regulator,0.011079887859523296,0.0,0.0,0.0
3,no_regulator,0.011079887859523296,0.0,0.0,0.0
4,no_regulator,0.011079887859523296,0.0,0.0,0.0
5,no_regulator,0.011079887859523296,0.0,0.0,0.0
6,no_regulator,0.011079887859523296,0.0,0.0,0.0
7,no_regulator,0.011079887859523296,0.0,0.0,0.0
8,no_regulator,0.011079887859523296,0.0,0.0,0.0
9,no_regulator,0.011079887859523296,0.0,0.0,0.0
10,no_regulator,0.011079887859523296,0.0,0.0,0.0
11,no_regulator,0.011079887859523296,0.0,0.0,0.0
12,no_regulator,0.011079887859523296,0.0,0.0,0.0
13,no_regulator,0.011079887859523296,0.0,0.0,0.0
14,no_regulator,0.011079887859523296,0.0,0.0,0.0
15,no_regulator,0.011079887859523296,0.0,0.0,0.0
16,no_regulator,0.011079887859523296,0.0,0.0,0.0
17,no_regulator,0.011079887859523296,0.0,0.0,0.0
18,no_regulator,0.011079887859523296,0.0,0.0,0.0
19,no_regulator,0.011079887859523296,0.0,0.0,0.0
20,no_regulator,0.011079887859523296,0.0,0.0,0.0
21,no_regulator,0.011079887859523296,0.0,0.0,0.0
22,no_regulator,0.011079887859523296,0.0,0.0,0.0
23,no_regulator,0.011079887859523296,0.0,0.0,0.0
24,no_regulator,0.011079887859523296,0.0,0.0,0.0
25,no_regulator,0.011079887859523296,0.0,0.0,0.0
26,no_regulator,0.011079887859523296,0.0,0.0,0.0
27,no_regulator,0.011079887859523296,0.0,0.0,0.0
28,no_regulator,0.011079887859523296,0.0,0.0,0.0
29,no_regulator,0.011079887859523296,0.0,0.0,0.0
0,minimal,0.0,0.0,0.0,0.0
1,minimal,0.0,0.0,0.0,0.0
2,minimal,0.0,0.0,0.0,0.0
3,minimal,0.0,0.0,0.0,0.0
4,minimal,0.0,0.0,0.0,0.0
5,minimal,0.0,0.0,0.0,0.0
6,minimal,0.0,0.0,0.0,0.0
7,minimal,0.0,0.0,0.0,0.0
8,minimal,0.0,0.0,0.0,0.0
9,minimal,0.0,0.0,0.0,0.0
10,minimal,0.0,0.0,0.0,0.0
11,minimal,0.0,0.0,0.0,0.0
12,minimal,0.0,0.0,0.0,0.0
13,minimal,0.0,0.0,0.0,0.0
14,minimal,0.0,0.0,0.0,0.0
15,minimal,0.0,0.0,0.0,0.0
16,minimal,0.0,0.0,0.0,0.0
17,minimal,0.0,0.0,0.0,0.0
18,minimal,0.0,0.0,0.0,0.0
19,minimal,0.0,0.0,0.0,0.0
20,minimal,0.0,0.0,0.0,0.0
21,minimal,0.0,0.0,0.0,0.0
22,minimal,0.0,0.0,0.0,0.0
23,minimal,0.0,0.0,0.0,0.0
24,minimal,0.0,0.0,0.0,0.0
25,minimal,0.0,0.0,0.0,0.0
26,minimal,0.0,0.0,0.0,0.0
27,minimal,0.0,0.0,0.0,0.0
28,minimal,0.0,0.0,0.0,0.0
29,minimal,0.0,0.0,0.0,0.0
