dimension,feature,birth,death,persistence,feature_set
0,0,0.0,3.607963208196452e-07,3.607963208196452e-07,intrinsic
0,1,0.0,1.2814014098694315e-06,1.2814014098694315e-06,intrinsic
0,2,0.0,2.0572917946992675e-06,2.0572917946992675e-06,intrinsic
0,3,0.0,3.490143853923655e-06,3.490143853923655e-06,intrinsic
0,4,0.0,3.5071614092885284e-06,3.5071614092885284e-06,intrinsic
0,5,0.0,4.061948857270181e-06,4.061948857270181e-06,intrinsic
0,6,0.0,4.914355031360174e-06,4.914355031360174e-06,intrinsic
0,7,0.0,5.184403562452644e-06,5.184403562452644e-06,intrinsic
0,8,0.0,7.37385880711372e-06,7.37385880711372e-06,intrinsic
0,9,0.0,8.109031114145182e-06,8.109031114145182e-06,intrinsic
0,10,0.0,1.0695044693420641e-05,1.0695044693420641e-05,intrinsic
0,11,0.0,1.2492753739934415e-05,1.2492753739934415e-05,intrinsic
0,12,0.0,1.3777695130556822e-05,1.3777695130556822e-05,intrinsic
0,13,0.0,1.3857559679308906e-05,1.3857559679308906e-05,intrinsic
0,14,0.0,1.6345326002920046e-05,1.6345326002920046e-05,intrinsic
0,15,0.0,1.653035360504873e-05,1.653035360504873e-05,intrinsic
0,16,0.0,1.7850959920906462e-05,1.7850959920906462e-05,intrinsic
0,17,0.0,1.99185342353303e-05,1.99185342353303e-05,intrinsic
0,18,0.0,2.037851299974136e-05,2.037851299974136e-05,intrinsic
0,19,0.0,2.082969695038628e-05,2.082969695038628e-05,intrinsic
0,20,0.0,2.281566776218824e-05,2.281566776218824e-05,intrinsic
0,21,0.0,2.5525641831336543e-05,2.5525641831336543e-05,intrinsic
0,22,0.0,2.673020753718447e-05,2.673020753718447e-05,intrinsic
0,23,0.0,2.783604577416554e-05,2.783604577416554e-05,intrinsic
0,24,0.0,2.837305873981677e-05,2.837305873981677e-05,intrinsic
0,25,0.0,2.8941029086126946e-05,2.8941029086126946e-05,intrinsic
0,26,0.0,3.1599440262652934e-05,3.1599440262652934e-05,intrinsic
0,27,0.0,3.3574324334040284e-05,3.3574324334040284e-05,intrinsic
0,28,0.0,3.374950392753817e-05,3.374950392753817e-05,intrinsic
0,29,0.0,3.3922275179065764e-05,3.3922275179065764e-05,intrinsic
0,30,0.0,3.583730722311884e-05,3.583730722311884e-05,intrinsic
0,31,0.0,3.592596476664767e-05,3.592596476664767e-05,intrinsic
0,32,0.0,3.600425043259747e-05,3.600425043259747e-05,intrinsic
0,33,0.0,3.649323480203748e-05,3.649323480203748e-05,intrinsic
0,34,0.0,3.7260353565216064e-05,3.7260353565216064e-05,intrinsic
0,35,0.0,3.802248102147132e-05,3.802248102147132e-05,intrinsic
0,36,0.0,3.826411921181716e-05,3.826411921181716e-05,intrinsic
0,37,0.0,3.861490768031217e-05,3.861490768031217e-05,intrinsic
0,38,0.0,4.171923501417041e-05,4.171923501417041e-05,intrinsic
0,39,0.0,4.2280993511667475e-05,4.2280993511667475e-05,intrinsic
0,40,0.0,4.2727278923848644e-05,4.2727278923848644e-05,intrinsic
0,41,0.0,4.30308427894488e-05,4.30308427894488e-05,intrinsic
0,42,0.0,4.372243711259216e-05,4.372243711259216e-05,intrinsic
0,43,0.0,4.437633106135763e-05,4.437633106135763e-05,intrinsic
0,44,0.0,4.701454236055724e-05,4.701454236055724e-05,intrinsic
0,45,0.0,5.3488816774915904e-05,5.3488816774915904e-05,intrinsic
0,46,0.0,5.740463166148402e-05,5.740463166148402e-05,intrinsic
0,47,0.0,5.914475332247093e-05,5.914475332247093e-05,intrinsic
0,48,0.0,5.987794793327339e-05,5.987794793327339e-05,intrinsic
0,49,0.0,6.041169399395585e-05,6.041169399395585e-05,intrinsic
0,50,0.0,6.102093539084308e-05,6.102093539084308e-05,intrinsic
0,51,0.0,6.147638487163931e-05,6.147638487163931e-05,intrinsic
0,52,0.0,6.235110777197406e-05,6.235110777197406e-05,intrinsic
0,53,0.0,6.477370334323496e-05,6.477370334323496e-05,intrinsic
0,54,0.0,6.593808211619034e-05,6.593808211619034e-05,intrinsic
0,55,0.0,6.687748100375757e-05,6.687748100375757e-05,intrinsic
0,56,0.0,6.800270057283342e-05,6.800270057283342e-05,intrinsic
0,57,0.0,6.979629688430578e-05,6.979629688430578e-05,intrinsic
0,58,0.0,7.092528539942577e-05,7.092528539942577e-05,intrinsic
0,59,0.0,7.213289791252464e-05,7.213289791252464e-05,intrinsic
0,60,0.0,7.248293695738539e-05,7.248293695738539e-05,intrinsic
0,61,0.0,7.467234536306933e-05,7.467234536306933e-05,intrinsic
0,62,0.0,7.539507350884378e-05,7.539507350884378e-05,intrinsic
0,63,0.0,7.88875695434399e-05,7.88875695434399e-05,intrinsic
0,64,0.0,7.92000864748843e-05,7.92000864748843e-05,intrinsic
0,65,0.0,7.935093890409917e-05,7.935093890409917e-05,intrinsic
0,66,0.0,8.036661893129349e-05,8.036661893129349e-05,intrinsic
0,67,0.0,8.146993059199303e-05,8.146993059199303e-05,intrinsic
0,68,0.0,8.189304935513064e-05,8.189304935513064e-05,intrinsic
0,69,0.0,8.269324462162331e-05,8.269324462162331e-05,intrinsic
0,70,0.0,8.2713711890392e-05,8.2713711890392e-05,intrinsic
0,71,0.0,8.558135596103966e-05,8.558135596103966e-05,intrinsic
0,72,0.0,8.638596045784652e-05,8.638596045784652e-05,intrinsic
0,73,0.0,8.838559006107971e-05,8.838559006107971e-05,intrinsic
0,74,0.0,8.908098243409768e-05,8.908098243409768e-05,intrinsic
0,75,0.0,9.114953718381003e-05,9.114953718381003e-05,intrinsic
0,76,0.0,9.28136651054956e-05,9.28136651054956e-05,intrinsic
0,77,0.0,9.30598471313715e-05,9.30598471313715e-05,intrinsic
0,78,0.0,9.408910409547389e-05,9.408910409547389e-05,intrinsic
0,79,0.0,9.410800703335553e-05,9.410800703335553e-05,intrinsic
0,80,0.0,9.439518180442974e-05,9.439518180442974e-05,intrinsic
0,81,0.0,9.722405229695141e-05,9.722405229695141e-05,intrinsic
0,82,0.0,9.771157783688977e-05,9.771157783688977e-05,intrinsic
0,83,0.0,9.858106204774231e-05,9.858106204774231e-05,intrinsic
0,84,0.0,9.912699169944972e-05,9.912699169944972e-05,intrinsic
0,85,0.0,9.962979675037786e-05,9.962979675037786e-05,intrinsic
0,86,0.0,0.0001014695517369546,0.0001014695517369546,intrinsic
0,87,0.0,0.00010156386269954965,0.00010156386269954965,intrinsic
0,88,0.0,0.00010292787192156538,0.00010292787192156538,intrinsic
0,89,0.0,0.00010625326103763655,0.00010625326103763655,intrinsic
0,90,0.0,0.00010629741882439703,0.00010629741882439703,intrinsic
0,91,0.0,0.00010717634722823277,0.00010717634722823277,intrinsic
0,92,0.0,0.00010841430048458278,0.00010841430048458278,intrinsic
