a,b,conductor,reason
a=2,b=4181,conductor=3775844632,reason=too_large
a=4181,b=377,conductor=4677633351152,reason=too_large
a=610,b=1597,conductor=7814280344,reason=too_large
a=1597,b=3,conductor=11848736680,reason=too_large
a=610,b=2,conductor=1117445056,reason=too_large
a=377,b=34,conductor=214361744,reason=too_large
a=1597,b=2,conductor=203650160,reason=too_large
a=1597,b=34,conductor=2036505488,reason=too_large
a=89,b=2584,conductor=2929606208,reason=too_large
a=144,b=1597,conductor=323219916,reason=too_large
a=5,b=1597,conductor=1101784688,reason=too_large
a=987,b=233,conductor=15389940060,reason=too_large
a=1597,b=144,conductor=260681161024,reason=too_large
a=610,b=5,conductor=1037628200,reason=too_large
a=13,b=2584,conductor=576925760,reason=too_large
a=1597,b=987,conductor=130546522040,reason=too_large
a=377,b=1597,conductor=906213040,reason=too_large
a=34,b=2584,conductor=1443501824,reason=too_large
a=13,b=4181,conductor=7551829360,reason=too_large
a=610,b=55,conductor=14528090800,reason=too_large
a=1597,b=610,conductor=2037757424,reason=too_large
a=377,b=610,conductor=224377232,reason=too_large
a=233,b=1597,conductor=1911334256,reason=too_large
a=610,b=3,conductor=14526787888,reason=too_large
a=3,b=2584,conductor=1442244960,reason=too_large
a=1597,b=377,conductor=52146720560,reason=too_large
a=377,b=5,conductor=3429299312,reason=too_large
