a,b,rank,normalized_leading_coeff,omega,regulator,tamagawa,weak_bsd_holds,log_delta,log_cond
34,144,2,1.2623558290853645758994107725,1.5874476029557543327015819683,3.97605510485800,2,True,16.25554256790266,15.562395387342713
5,377,0,1.3947223209858624709610051470,1.5496914677620694121788946078,1.0,1,True,17.933046248389445,17.933046248389445
2,610,2,5.1549527599520563967888052304,1.4403376899257034420669976663,35.7898900793047,1,True,18.895346687699217,18.895346687699217
2,610,2,5.1549527599520563967888052304,1.4403376899257034420669976663,35.7898900793047,1,True,18.895346687699217,18.895346687699217
34,610,1,0.41420707416238652217448538436,1.3731412082195891466705646370,3.01649292645908,1,True,18.91087084838388,18.91087084838388
2,233,1,2.1306782909295550373241513427,1.6865838951783869258363782598,3.15827498563924,4,True,16.97052432617454,14.331466996559282
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
5,377,0,1.3947223209858624709610051470,1.5496914677620694121788946078,1.0,1,True,17.933046248389445,17.933046248389445
21,89,0,0.17623957672558553814347526397,1.7623957672558553814347526397,1.0,1,True,15.205442295801449,15.205442295801449
34,144,2,1.2623558290853645758994107725,1.5874476029557543327015819683,3.97605510485800,2,True,16.25554256790266,15.562395387342713
2,144,3,3.5620854002542971603630883958,1.8236602565125279190648710531,9.76630758808727,2,True,16.00810934168413,15.314962161124182
2,233,1,2.1306782909295550373241513427,1.6865838951783869258363782598,3.15827498563924,4,True,16.97052432617454,14.331466996559282
5,144,2,2.7392969352182205730478096535,1.8029908799109454500594532640,15.1930714999153,1,True,16.008944850125307,16.008944850125307
144,1,2,2.2407717785199561480363572574,1.0706626456078392528658465456,3.48813853382021,6,True,19.068325242646463,16.58341859285846
144,377,1,1.0410111660812234768954450650,1.1221361115113157942991577878,1.54617482882590,6,True,19.34693251553324,16.862025865745238
233,34,2,1.1986945322141314660671349051,0.95218185698345309844409509193,12.5889243049814,1,True,20.51261512414601,17.740026401906228
5,2,0,0.25878393778151840516579712867,2.5878393778151840516579712867,1.0,1,True,9.182763604205949,6.410174881966167
144,34,0,0.10774679947009977360125240301,1.0774679947009977360125240301,1.0,1,True,19.07093278250608,19.07093278250608
34,377,1,1.2694825490942907161324575959,1.4571767764884481255446550982,4.35596617231826,2,True,17.973067512403553,17.279920331843606
3,1597,2,3.1425388567724595268257602466,1.2276169993743317869331967400,4.26644854539878,6,True,20.8201914530488,18.3352848032608
8,610,0,0.14279663870929885443373110481,1.4279663870929885443373110481,1.0,1,True,18.89554732983434,18.89554732983434
144,2,1,1.6840634598555600363779710359,1.0708744400683227863427115388,7.86302948713630,2,True,19.068332024292165,17.12242187523685
34,377,1,1.2694825490942907161324575959,1.4571767764884481255446550982,4.35596617231826,2,True,17.973067512403553,17.279920331843606
377,2,1,1.9086494537074770450070509606,0.84161318212549367925981332813,11.3392321689115,2,True,21.95561914959819,15.572112514714183
34,5,2,1.5891429892627615558366812433,1.5484289669144640927314888605,5.13146880876760,2,True,14.742248922758998,14.049101742199053
233,1,1,0.77615963685187192583113111240,0.94920511083297413488148697776,2.72564776567190,3,True,20.511998977681436,17.293123152813237
233,610,1,0.34371093449987200888811644825,0.98945767140628117202667641897,3.47373055394444,1,True,20.693120773927596,17.920532051687815
2,34,2,0.76288785976132946343345621427,2.2912968250866464070027967995,3.32950253938610,1,True,13.12217135896997,13.12217135896997
34,5,2,1.5891429892627615558366812433,1.5484289669144640927314888605,5.13146880876760,2,True,14.742248922758998,14.049101742199053
-1706,6320,1,0.57161472701821916623395660050,0.42236269178325809849360427108,3.38343524498343,4,True,26.428773247791085,25.73562606723114
