a,b,rank,omega,reg,volume
5,610,0,1.4341573627103942279701339438,1.0,34585.14698629127
2,610,2,1.4403376899257034420669976663,35.7898900793047,1.22719888946748e6
3,1597,2,1.2276169993743317869331967400,4.26644854539878,201383.537031045
34,144,2,1.5874476029557543327015819683,3.97605510485800,112237.203010846
5,144,2,1.8029908799109454500594532640,15.1930714999153,332461.807177441
2,144,3,1.8236602565125279190648710531,9.76630758808727,208893.905993696
2,377,0,1.5589270075696999956633792140,1.0,29270.603540568933
2,1597,2,1.2285401847582266179436752778,5.27268289516979,248505.588369345
233,34,2,0.95218185698345309844409509193,12.5889243049814,987715.928366924
8,233,0,1.6588851435371646503373375924,1.0,25849.408152094747
144,1,2,1.0706626456078392528658465456,3.48813853382021,216457.013805009
3,34,0,2.2681110986757747883292872368,1.0,13827.847839570757
233,610,1,0.98945767140628117202667641897,3.47373055394444,252397.429766539
2,8,0,2.8188519702865968892857292296,1.0,8952.383946003521
55,1,2,1.3627935169654639678360625422,3.19965942365798,122553.826427644
5,34,1,2.2207910641154188697544295757,1.63948760512216,23646.9958162212
3,21,1,2.4288201368974516354993719761,1.06008851748665,12783.0550760647
34,5,2,1.5484289669144640927314888605,5.13146880876760,152244.761606677
233,1,1,0.94920511083297413488148697776,2.72564776567190,215195.326349498
3,610,0,1.4382783870994640129453509459,1.0,34387.24086603384
2,1,1,3.2876310753857779009707686786,0.203459785486135,1339.04652891487
144,377,1,1.1221361115113157942991577878,1.54617482882590,87347.5566332960
377,2,1,0.84161318212549367925981332813,11.3392321689115,1.13878523746918e6
34,2,1,1.5408678141533980480942638445,5.89475733362021,176611.265948095
89,34,1,1.2230507773235127713536724889,2.58305327775100,122836.554850356
55,144,2,1.4356547783836453794455400030,7.33775357875698,253248.172926493
1,21,0,2.4983735248306727547234516286,1.0,11396.421447314306
144,3,0,1.0710858963996087507219888389,1.0,62006.13163821417
3,2,1,2.9699485145448674636762496212,1.21750729020052,9818.76731973163
3,144,2,1.8167876573841279042096187870,2.14175665201168,46157.7916346277
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,1.34918035948271e6
