a,b,rank,omega,reg,volume,scaled_reg
3,1597,2,1.2276169993743317869331967400,4.26644854539878,140968.475921731,1349.16949233724
34,144,2,1.5874476029557543327015819683,3.97605510485800,78566.0421075924,1257.33902336909
3,377,1,1.5558507464195442817694580520,10.2183216102621,210196.258766637,6462.63403050950
2,144,3,1.8236602565125279190648710531,9.76630758808727,146225.734195587,4632.56644622120
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874,632.4555320336758
8,233,0,1.6588851435371646503373375924,1.0,18094.585706466325,632.4555320336758
5,144,2,1.8029908799109454500594532640,15.1930714999153,232723.265024209,4804.47105935231
34,610,1,1.3731412082195891466705646370,3.01649292645908,79662.3639015724,1907.79763867950
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232,11317.7569857667
5,610,0,1.4341573627103942279701339438,1.0,24209.60289040389,632.4555320336758
3,5,1,2.8580130876122858836496693035,0.127766310765716,778.877588933691,80.8065100513107
5,2,0,2.5878393778151840516579712867,1.0,7435.439520402719,632.4555320336758
377,2,1,0.84161318212549367925981332813,11.3392321689115,797149.666228426,7171.56011424231
1,89,0,1.9805590228176800610171005873,1.0,12694.210647273498,632.4555320336758
1,3,1,3.3267489191147559242273066185,0.487827471310529,2194.86333605089,308.529182908344
2,377,0,1.5589270075696999956633792140,1.0,20489.422478398254,632.4555320336758
144,5,0,1.0715077906203850544980304264,1.0,43370.11896556129,632.4555320336758
5,1,1,2.5453333352288043875803959506,0.850851989760152,6539.52143504314,538.126047865669
34,5,2,1.5484289669144640927314888605,5.13146880876760,106571.333124674,1622.71291778166
144,2,1,1.0708744400683227863427115388,7.86302948713630,341424.025201084,4973.01649768327
2,3,1,3.1380735450430275094334329001,1.44944103460002,7329.18352116617,916.707000689399
5,34,1,2.2207910641154188697544295757,1.63948760512216,16552.8970713548,1036.90300556015
144,3,0,1.0710858963996087507219888389,1.0,43404.29214674992,632.4555320336758
89,13,1,1.2135516253380638627630531025,2.89650188960637,97935.1478089241,1831.90864362754
34,377,1,1.4571767764884481255446550982,4.35596617231826,102150.687914221,2754.95490303424
2,1597,2,1.2285401847582266179436752778,5.27268289516979,173953.911858542,1667.36873285474
89,1,2,1.2077767281339930914429566110,5.92979694026758,202417.374151082,1875.16643935430
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232,11317.7569857667
5,21,1,2.3564245723550687800959855610,2.85378333589791,25591.4675570765,1804.89105801415
21,2,1,1.7441919893137002596347715390,4.15291625426731,67974.4774738374,2626.53485908393
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,944426.251637899,2139.87233796748
