a,b,rank,omega,reg,volume,scaled_reg,leading_coeff,conductor,plot_file
2,377,0,1.5589270075696999956633792140,1.0,20489.422478398254,632.4555320336758,6.2357080302787999826535168559,2790920,curve_2_377.png
13,144,1,1.7465700583915929575100868325,2.12021955099877,34609.0830399936,670.472292077563,3.7031119849909114788941024781,9098560,curve_13_144.png
2,144,3,1.8236602565125279190648710531,9.76630758808727,731128.670977936,4632.56644622120,35.620854002542971603630883958,4479232,curve_2_144.png
5,144,2,1.8029908799109454500594532640,15.1930714999153,116361.632512104,2402.23552967615,27.392969352182205730478096535,8965952,curve_5_144.png
3,144,2,1.8167876573841279042096187870,2.14175665201168,16155.2270721197,338.641460708678,15.564468201980692808604909534,1493280,curve_3_144.png
144,1597,1,1.0891559878692565289038255032,20.1021673090716,843808.694233288,6356.86346024441,21.894395893824923037668247000,323219916,curve_144_1597.png
8,610,0,1.4279663870929885443373110481,1.0,24419.98034559443,632.4555320336758,1.4279663870929885443373110481,160779968,curve_8_610.png
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874,632.4555320336758,13.947223209858624709610051470,61407728,curve_5_377.png
34,610,1,1.3731412082195891466705646370,3.01649292645908,79662.3639015724,953.898819339749,4.1420707416238652217448538436,163262656,curve_34_610.png
5,233,1,1.6727748874851537509129938879,17.2846294069745,307585.849514278,5465.87974379649,28.913294011474385513216840299,23460848,curve_5_233.png
55,233,2,1.4234903964737565766950749882,4.08798135352722,50228.6038726564,646.366605472201,17.457606593129351592031495388,8525212,curve_55_233.png
2,233,1,1.6865838951783869258363782598,3.15827498563924,55286.0194261389,998.734243175557,21.306782909295550373241513427,1675240,curve_2_233.png
233,144,1,0.96150649753444483949337064123,2.74519556662647,147859.802417934,868.107061313617,2.6395233743141048586886515702,818515520,curve_233_144.png
233,3,2,0.94938774052412824716209203942,29.0568106705138,802623.716988020,4594.28516295540,55.172359658632976352518229785,404780728,curve_233_3.png
34,144,2,1.5874476029557543327015819683,3.97605510485800,39283.0210537962,628.669511684545,12.623558290853645758994107725,5736704,curve_34_144.png
233,2,0,0.94929646095426501815576780472,1.0,55255.75989917984,632.4555320336758,0.94929646095426501815576780472,50597456,curve_233_2.png
233,13,1,0.95029663317249866275996182059,12.9415426638040,713590.314340614,4092.47512538633,12.298304421471177594637835942,809630576,curve_233_13.png
233,377,1,0.97788673099329385551811276549,43.4813889346150,2.26416243904633e6,13750.0224861025,42.519873284318607465001911780,870957296,curve_233_377.png
34,5,2,1.5484289669144640927314888605,5.13146880876760,53285.6665623371,811.356458890831,15.891429892627615558366812433,1263128,curve_34_5.png
5,89,1,1.9393090236610756819064323844,14.3807107009275,190400.284321157,4547.58001868874,27.888642028968101590967224714,3429872,curve_5_89.png
13,34,0,2.0189058199784232155840144400,1.0,12216.566390171845,632.4555320336758,1.0094529099892116077920072200,80,curve_13_34.png
2,5,0,2.9834356341663124453652196800,1.0,5594.328107838207,632.4555320336758,5.9668712683326248907304393601,5656,curve_2_5.png
377,610,1,0.86250166880405612610412520799,20.2510025397804,1.35552621048027e6,6403.92929275607,17.466523485515780761573689549,224377232,curve_377_610.png
21,377,2,1.4996021175316803131515116071,32.6141412046914,361081.419386779,5156.74850685864,48.908235212032508551081877140,61992432,curve_21_377.png
2,610,2,1.4403376899257034420669976663,35.7898900793047,429519.611313616,5658.87849288335,51.549527599520563967888052304,160747712,curve_2_610.png
144,8,1,1.0721380707689949768598173188,5.23484560177642,226769.018824667,1655.40353009283,22.449909057048528110451903593,3981888,curve_144_8.png
34,2,1,1.5408678141533980480942638445,5.89475733362021,123627.886163666,1864.08594282209,9.0830418476200929153834480060,2517184,curve_34_2.png
3,5,1,2.8580130876122858836496693035,0.127766310765716,778.877588933691,40.4032550256553,2.1909467299461232406770419718,1044,curve_3_5.png
1,34,2,2.3142631195368787468020224168,0.598605171961234,2782.69930658377,94.6477881277131,5.5413194905356641992978528380,15608,curve_1_34.png
144,5,0,1.0715077906203850544980304264,1.0,43370.11896556129,632.4555320336758,1.0715077906203850544980304264,47778444,curve_144_5.png
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,944426.251637899,1069.93616898374,5.7161472701821916623395660050,150258963712,curve_-1706_6320.png
