a,b,rank,omega,reg,volume
34,144,2,1.5874476029557543327015819683,3.97605510485800,78566.0421075924
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232
2,610,2,1.4403376899257034420669976663,35.7898900793047,859039.222627232
34,610,1,1.3731412082195891466705646370,3.01649292645908,79662.3639015724
2,233,1,1.6865838951783869258363782598,3.15827498563924,55286.0194261389
5,144,2,1.8029908799109454500594532640,15.1930714999153,232723.265024209
2,144,3,1.8236602565125279190648710531,9.76630758808727,146225.734195587
5,377,0,1.5496914677620694121788946078,1.0,20734.367683247874
21,89,0,1.7623957672558553814347526397,1.0,16031.508782098737
34,144,2,1.5874476029557543327015819683,3.97605510485800,78566.0421075924
2,144,3,1.8236602565125279190648710531,9.76630758808727,146225.734195587
2,233,1,1.6865838951783869258363782598,3.15827498563924,55286.0194261389
5,144,2,1.8029908799109454500594532640,15.1930714999153,232723.265024209
144,1,2,1.0706626456078392528658465456,3.48813853382021,151519.909663506
144,377,1,1.1221361115113157942991577878,1.54617482882590,61143.2896433072
233,34,2,0.95218185698345309844409509193,12.5889243049814,691401.149856847
5,2,0,2.5878393778151840516579712867,1.0,7435.439520402719
144,34,0,1.0774679947009977360125240301,1.0,42891.62715579089
34,377,1,1.4571767764884481255446550982,4.35596617231826,102150.687914221
3,1597,2,1.2276169993743317869331967400,4.26644854539878,140968.475921731
8,610,0,1.4279663870929885443373110481,1.0,24419.98034559443
144,2,1,1.0708744400683227863427115388,7.86302948713630,341424.025201084
34,377,1,1.4571767764884481255446550982,4.35596617231826,102150.687914221
377,2,1,0.84161318212549367925981332813,11.3392321689115,797149.666228426
34,5,2,1.5484289669144640927314888605,5.13146880876760,106571.333124674
233,1,1,0.94920511083297413488148697776,2.72564776567190,150636.728444649
233,610,1,0.98945767140628117202667641897,3.47373055394444,176678.200836577
2,34,2,2.2912968250866464070027967995,3.32950253938610,31578.9672801413
34,5,2,1.5484289669144640927314888605,5.13146880876760,106571.333124674
-1706,6320,1,0.42236269178325809849360427108,3.38343524498343,944426.251637899
